F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
22,68,6,3,7,False,176,False,False,1,False,False,False,True,0,13,False,2,False,False,NomAnaph
1,42,5,0,6,False,0,False,False,2,False,False,False,True,0,0,False,3,False,False,ClauseAnaph
42,43,2,6,0,False,129,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
26,33,2,2,1,False,254,False,False,0,False,False,False,False,0,3,False,5,False,False,ClauseAnaph
6,7,1,0,0,False,146,False,False,0,False,False,False,False,0,0,False,2,False,False,ClauseAnaph
20,39,4,3,2,False,103,False,False,1,False,False,False,False,0,0,False,2,False,False,NomAnaph
54,63,5,4,1,False,56,False,False,0,False,False,False,False,0,1,False,5,False,False,NomAnaph
1,24,1,0,1,False,10,False,False,2,False,False,False,False,0,5,False,3,False,False,NomAnaph
1,41,2,0,5,False,19,False,False,2,False,False,False,True,0,15,False,3,False,False,ClauseAnaph
13,18,1,1,0,False,171,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
19,20,3,1,0,False,250,False,False,0,False,False,False,False,0,0,False,5,False,False,ClauseAnaph
25,26,2,3,0,False,46,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
12,23,1,0,2,False,151,False,False,0,False,False,False,False,0,1,False,2,False,False,ClauseAnaph
3,12,1,0,1,False,35,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
1,26,1,0,3,False,19,False,False,0,False,False,False,False,0,19,False,3,False,False,NomAnaph
78,79,6,9,0,False,146,False,False,0,False,False,False,False,0,0,False,2,False,False,ClauseAnaph
19,20,2,1,0,False,46,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
27,32,4,3,0,False,168,False,False,0,False,False,False,False,0,0,False,5,False,False,ClauseAnaph
5,8,1,1,0,False,188,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
4,12,2,0,1,False,38,False,False,1,False,False,False,True,0,0,False,3,False,False,NomAnaph
33,42,1,4,1,False,139,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
13,26,1,2,2,False,117,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
5,22,2,0,2,False,69,False,False,0,False,False,False,False,0,8,False,4,False,False,ClauseAnaph
30,37,4,4,0,False,257,False,False,0,False,False,False,False,0,0,False,4,False,False,ClauseAnaph
40,53,4,5,2,False,117,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
28,39,2,4,1,False,84,False,False,1,False,False,False,False,0,5,False,2,False,False,NomAnaph
37,42,2,5,1,False,152,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
5,10,1,0,1,False,81,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
7,18,1,2,2,False,258,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,16,1,0,1,False,11,False,False,1,False,False,False,False,0,9,False,3,False,False,NomAnaph
7,10,1,1,0,False,92,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
7,12,1,1,1,False,98,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
